policy_check_id,asset_id,classification,source_max_allowed_classification,classification_within_source_policy,access_control_status,retention_status,retention_policy_days,contains_sensitive_tokens,governance_pass,review_required_before_retrieval
POL-00001,AST-00001,restricted,restricted,True,missing_review,aligned,730,False,False,True
POL-00002,AST-00002,regulated_sensitive,public_internal,False,aligned,aligned,730,False,False,True
POL-00003,AST-00003,confidential,regulated_sensitive,True,aligned,missing_policy,365,True,False,True
POL-00004,AST-00004,regulated_sensitive,public_internal,False,aligned,aligned,730,False,False,True
POL-00005,AST-00005,confidential,confidential,True,aligned,aligned,1095,True,True,False
POL-00006,AST-00006,confidential,confidential,True,overexposed,aligned,1095,False,False,True
POL-00007,AST-00007,regulated_sensitive,confidential,False,aligned,aligned,365,False,False,True
POL-00008,AST-00008,confidential,regulated_sensitive,True,aligned,aligned,365,False,True,False
POL-00009,AST-00009,confidential,confidential,True,aligned,aligned,1825,False,True,False
POL-00010,AST-00010,regulated_sensitive,confidential,False,aligned,missing_policy,1825,False,False,True
POL-00011,AST-00011,confidential,confidential,True,aligned,aligned,1095,False,True,False
POL-00012,AST-00012,restricted,regulated_sensitive,True,aligned,aligned,365,False,True,False
POL-00013,AST-00013,public_internal,regulated_sensitive,True,aligned,aligned,730,False,True,False
POL-00014,AST-00014,restricted,restricted,True,missing_review,aligned,1095,False,False,True
POL-00015,AST-00015,restricted,restricted,True,missing_review,missing_policy,365,True,False,True
POL-00016,AST-00016,restricted,regulated_sensitive,True,overexposed,aligned,730,False,False,True
POL-00017,AST-00017,restricted,public_internal,False,aligned,missing_policy,1825,False,False,True
POL-00018,AST-00018,restricted,confidential,False,missing_review,missing_policy,730,False,False,True
POL-00019,AST-00019,public_internal,restricted,True,aligned,aligned,1825,False,True,False
POL-00020,AST-00020,confidential,confidential,True,aligned,aligned,1095,False,True,False
POL-00021,AST-00021,restricted,regulated_sensitive,True,aligned,aligned,730,False,True,False
POL-00022,AST-00022,restricted,restricted,True,overexposed,missing_policy,365,True,False,True
POL-00023,AST-00023,confidential,confidential,True,aligned,aligned,1825,False,True,False
POL-00024,AST-00024,confidential,confidential,True,aligned,aligned,1095,False,True,False
POL-00025,AST-00025,confidential,restricted,True,aligned,aligned,730,False,True,False
POL-00026,AST-00026,confidential,confidential,True,aligned,aligned,2555,False,True,False
POL-00027,AST-00027,regulated_sensitive,confidential,False,aligned,missing_policy,365,False,False,True
POL-00028,AST-00028,restricted,restricted,True,missing_review,aligned,1095,False,False,True
POL-00029,AST-00029,confidential,confidential,True,aligned,aligned,1825,False,True,False
POL-00030,AST-00030,regulated_sensitive,restricted,False,aligned,aligned,1095,False,False,True
POL-00031,AST-00031,regulated_sensitive,confidential,False,aligned,missing_policy,730,False,False,True
POL-00032,AST-00032,regulated_sensitive,restricted,False,overexposed,aligned,365,False,False,True
POL-00033,AST-00033,restricted,confidential,False,aligned,aligned,365,False,False,True
POL-00034,AST-00034,restricted,restricted,True,aligned,aligned,1095,True,True,False
POL-00035,AST-00035,regulated_sensitive,regulated_sensitive,True,aligned,aligned,730,False,True,False
POL-00036,AST-00036,confidential,restricted,True,overexposed,missing_policy,730,True,False,True
POL-00037,AST-00037,regulated_sensitive,restricted,False,aligned,aligned,2555,False,False,True
POL-00038,AST-00038,confidential,public_internal,False,aligned,aligned,2555,True,False,True
POL-00039,AST-00039,confidential,public_internal,False,aligned,aligned,730,False,False,True
