asset_id,source_id,asset_title,asset_type,domain,ai_retrieval_candidate,included_in_retrieval,business_description_present,metadata_owner_present,lineage_documented,last_refreshed_at,classification,access_control_status,retention_status,semantic_label,document_structure_score,retrieval_ambiguity_score,risk_decision_signal,consumer_team,days_since_refresh
AST-00001,SRC-005,Sanctions Screening Faq 0001,faq,Sanctions Screening,False,False,True,True,True,2026-07-13,restricted,missing_review,aligned,identity_verification,1.0,0.263,medium,Compliance Ops,9
AST-00002,SRC-062,Identity Verification Policy Document 0002,policy_document,Identity Verification,True,True,True,True,True,2026-07-18,regulated_sensitive,aligned,aligned,sanctions_context,0.887,0.103,high,Identity Product,4
AST-00003,SRC-045,Case Operations Case Note Template 0003,case_note_template,Case Operations,True,True,True,True,True,2026-05-12,confidential,aligned,missing_policy,business_registry,0.79,0.02,high,Fraud Product,71
AST-00004,SRC-062,Identity Verification Table 0004,table,Identity Verification,False,False,False,True,True,2026-07-15,regulated_sensitive,aligned,aligned,entity_resolution,0.507,0.13,medium,Compliance Ops,7
AST-00005,SRC-002,Compliance Policy Table 0005,table,Compliance Policy,False,False,True,True,True,2026-07-07,confidential,aligned,aligned,access_policy,0.756,0.566,unclear,Identity Product,15
AST-00006,SRC-084,Sanctions Screening Case Note Template 0006,case_note_template,Sanctions Screening,True,False,True,True,False,2026-07-14,confidential,overexposed,aligned,fraud_indicator,0.865,0.525,medium,AI Platform,8
AST-00007,SRC-069,Sanctions Screening Faq 0007,faq,Sanctions Screening,False,False,True,True,True,2026-07-07,regulated_sensitive,aligned,aligned,device_risk,0.781,0.361,medium,Customer Ops,15
AST-00008,SRC-047,Compliance Policy Table 0008,table,Compliance Policy,True,False,True,True,True,2026-06-17,confidential,aligned,aligned,identity_verification,0.723,0.34,unclear,Identity Product,35
AST-00009,SRC-006,Sanctions Screening Runbook 0009,runbook,Sanctions Screening,True,True,False,True,False,2026-05-06,confidential,aligned,aligned,fraud_indicator,0.845,0.571,unclear,Identity Product,77
AST-00010,SRC-034,Business Registry Policy Document 0010,policy_document,Business Registry,True,True,True,True,True,2026-05-12,regulated_sensitive,aligned,missing_policy,device_risk,0.62,0.093,medium,AI Platform,71
AST-00011,SRC-031,Case Operations Policy Document 0011,policy_document,Case Operations,False,False,True,True,False,2026-05-21,confidential,aligned,aligned,identity_verification,0.833,0.226,low,AI Platform,62
AST-00012,SRC-045,Case Operations Faq 0012,faq,Case Operations,True,True,True,False,True,2026-05-16,restricted,aligned,aligned,access_policy,0.714,0.394,high,Fraud Product,67
AST-00013,SRC-036,Case Operations Policy Document 0013,policy_document,Case Operations,True,False,True,True,True,2026-07-17,public_internal,aligned,aligned,case_workflow,0.726,0.392,low,Customer Ops,5
AST-00014,SRC-068,Device Intelligence Table 0014,table,Device Intelligence,False,False,True,True,True,2026-04-22,restricted,missing_review,aligned,fraud_indicator,0.7,0.367,medium,Identity Product,91
AST-00015,SRC-054,Compliance Policy Policy Document 0015,policy_document,Compliance Policy,True,True,True,True,True,2026-07-18,restricted,missing_review,missing_policy,device_risk,0.627,0.359,low,Customer Ops,4
AST-00016,SRC-066,Case Operations Runbook 0016,runbook,Case Operations,True,True,True,True,False,2026-07-20,restricted,overexposed,aligned,business_registry,0.77,0.087,low,Identity Product,2
AST-00017,SRC-027,Fraud Signals Table 0017,table,Fraud Signals,True,True,True,True,True,2026-05-04,restricted,aligned,missing_policy,,1.0,0.324,high,Identity Product,79
AST-00018,SRC-035,Compliance Policy Table 0018,table,Compliance Policy,True,True,True,True,True,2026-07-17,restricted,missing_review,missing_policy,business_registry,0.769,0.564,low,Customer Ops,5
AST-00019,SRC-009,Customer Risk Notes Table 0019,table,Customer Risk Notes,True,True,True,True,True,2026-07-06,public_internal,aligned,aligned,case_workflow,0.737,0.073,low,Fraud Product,16
AST-00020,SRC-002,Compliance Policy Case Note Template 0020,case_note_template,Compliance Policy,True,False,True,True,True,2026-04-27,confidential,aligned,aligned,entity_resolution,0.737,0.599,high,AI Platform,86
AST-00021,SRC-066,Case Operations Case Note Template 0021,case_note_template,Case Operations,True,True,True,True,True,2026-07-19,restricted,aligned,aligned,access_policy,0.409,0.02,high,Compliance Ops,3
AST-00022,SRC-018,Business Registry Table 0022,table,Business Registry,True,True,False,True,True,2026-07-17,restricted,overexposed,missing_policy,identity_verification,0.388,0.025,medium,AI Platform,5
AST-00023,SRC-064,Device Intelligence Table 0023,table,Device Intelligence,False,False,True,True,True,2026-07-21,confidential,aligned,aligned,entity_resolution,0.62,0.265,low,Fraud Product,1
AST-00024,SRC-084,Sanctions Screening Knowledge Article 0024,knowledge_article,Sanctions Screening,True,False,True,True,False,2026-07-12,confidential,aligned,aligned,entity_resolution,0.757,0.556,medium,Fraud Product,10
AST-00025,SRC-078,Device Intelligence Table 0025,table,Device Intelligence,True,True,True,True,True,2026-04-25,confidential,aligned,aligned,retention_rule,0.764,0.163,medium,Fraud Product,88
AST-00026,SRC-095,Case Operations Table 0026,table,Case Operations,True,False,True,True,True,2026-06-03,confidential,aligned,aligned,risk_decision_signal,0.589,0.518,low,Fraud Product,49
AST-00027,SRC-061,Customer Risk Notes Knowledge Article 0027,knowledge_article,Customer Risk Notes,True,False,True,True,False,2026-05-06,regulated_sensitive,aligned,missing_policy,fraud_indicator,0.591,0.296,medium,Compliance Ops,77
AST-00028,SRC-063,Customer Risk Notes Table 0028,table,Customer Risk Notes,True,True,True,True,False,2026-07-11,restricted,missing_review,aligned,sanctions_context,0.53,0.454,medium,Fraud Product,11
